 3.548134e+02  1.422765e+01  3.548134e+02 -1.697765e+00 
 3.630781e+02  1.441626e+01  3.630781e+02 -1.707657e+00 
 3.715352e+02  1.460394e+01  3.715352e+02 -1.717594e+00 
 3.801894e+02  1.479067e+01  3.801894e+02 -1.727578e+00 
 3.890451e+02  1.497645e+01  3.890451e+02 -1.737613e+00 
 3.981072e+02  1.516124e+01  3.981072e+02 -1.747700e+00 
 4.073803e+02  1.534504e+01  4.073803e+02 -1.757842e+00 
 4.168694e+02  1.552780e+01  4.168694e+02 -1.768042e+00 
 4.265795e+02  1.570952e+01  4.265795e+02 -1.778302e+00 
 4.365158e+02  1.589016e+01  4.365158e+02 -1.788625e+00 
 4.466836e+02  1.606970e+01  4.466836e+02 -1.799012e+00 
 4.570882e+02  1.624812e+01  4.570882e+02 -1.809465e+00 
 4.677351e+02  1.642537e+01  4.677351e+02 -1.819986e+00 
 4.786301e+02  1.660144e+01  4.786301e+02 -1.830578e+00 
 4.897788e+02  1.677630e+01  4.897788e+02 -1.841241e+00 
 5.011872e+02  1.694991e+01  5.011872e+02 -1.851977e+00 
 5.128614e+02  1.712224e+01  5.128614e+02 -1.862787e+00 
 5.248075e+02  1.729326e+01  5.248075e+02 -1.873673e+00 
 5.370318e+02  1.746294e+01  5.370318e+02 -1.884635e+00 
 5.495409e+02  1.763123e+01  5.495409e+02 -1.895674e+00 
 5.623413e+02  1.779811e+01  5.623413e+02 -1.906791e+00 
 5.754399e+02  1.796354e+01  5.754399e+02 -1.917986e+00 
 5.888437e+02  1.812749e+01  5.888437e+02 -1.929260e+00 
 6.025596e+02  1.828991e+01  6.025596e+02 -1.940611e+00 
 6.165950e+02  1.845078e+01  6.165950e+02 -1.952041e+00 
 6.309573e+02  1.861004e+01  6.309573e+02 -1.963548e+00 
 6.456542e+02  1.876768e+01  6.456542e+02 -1.975133e+00 
 6.606934e+02  1.892364e+01  6.606934e+02 -1.986793e+00 
 6.760830e+02  1.907789e+01  6.760830e+02 -1.998529e+00 
 6.918310e+02  1.923040e+01  6.918310e+02 -2.010338e+00 
 7.079458e+02  1.938113e+01  7.079458e+02 -2.022220e+00 
 7.244360e+02  1.953003e+01  7.244360e+02 -2.034172e+00 
 7.413102e+02  1.967708e+01  7.413102e+02 -2.046192e+00 
 7.585776e+02  1.982224e+01  7.585776e+02 -2.058278e+00 
 7.762471e+02  1.996546e+01  7.762471e+02 -2.070429e+00 
