 1.071519e+03  1.847652e+01  1.071519e+03 -2.754977e+00 
 1.096478e+03  1.850435e+01  1.096478e+03 -2.762966e+00 
 1.122018e+03  1.853110e+01  1.122018e+03 -2.770822e+00 
 1.148154e+03  1.855680e+01  1.148154e+03 -2.778545e+00 
 1.174898e+03  1.858148e+01  1.174898e+03 -2.786137e+00 
 1.202264e+03  1.860518e+01  1.202264e+03 -2.793597e+00 
 1.230269e+03  1.862794e+01  1.230269e+03 -2.800926e+00 
 1.258925e+03  1.864978e+01  1.258925e+03 -2.808125e+00 
 1.288250e+03  1.867074e+01  1.288250e+03 -2.815195e+00 
 1.318257e+03  1.869085e+01  1.318257e+03 -2.822137e+00 
 1.348963e+03  1.871014e+01  1.348963e+03 -2.828952e+00 
 1.380384e+03  1.872864e+01  1.380384e+03 -2.835641e+00 
 1.412538e+03  1.874638e+01  1.412538e+03 -2.842205e+00 
 1.445440e+03  1.876339e+01  1.445440e+03 -2.848645e+00 
 1.479108e+03  1.877970e+01  1.479108e+03 -2.854963e+00 
 1.513561e+03  1.879533e+01  1.513561e+03 -2.861160e+00 
 1.548817e+03  1.881031e+01  1.548817e+03 -2.867237e+00 
 1.584893e+03  1.882466e+01  1.584893e+03 -2.873196e+00 
 1.621810e+03  1.883841e+01  1.621810e+03 -2.879038e+00 
 1.659587e+03  1.885158e+01  1.659587e+03 -2.884766e+00 
 1.698244e+03  1.886419e+01  1.698244e+03 -2.890379e+00 
 1.737801e+03  1.887627e+01  1.737801e+03 -2.895881e+00 
 1.778279e+03  1.888784e+01  1.778279e+03 -2.901272e+00 
 1.819701e+03  1.889891e+01  1.819701e+03 -2.906554e+00 
 1.862087e+03  1.890951e+01  1.862087e+03 -2.911730e+00 
 1.905461e+03  1.891966e+01  1.905461e+03 -2.916799e+00 
 1.949845e+03  1.892938e+01  1.949845e+03 -2.921765e+00 
 1.995262e+03  1.893868e+01  1.995262e+03 -2.926629e+00 
 2.041738e+03  1.894757e+01  2.041738e+03 -2.931392e+00 
 2.089296e+03  1.895609e+01  2.089296e+03 -2.936056e+00 
 2.137962e+03  1.896423e+01  2.137962e+03 -2.940623e+00 
 2.187762e+03  1.897202e+01  2.187762e+03 -2.945095e+00 
 2.238721e+03  1.897948e+01  2.238721e+03 -2.949473e+00 
 2.290868e+03  1.898661e+01  2.290868e+03 -2.953758e+00 
 2.344229e+03  1.899343e+01  2.344229e+03 -2.957953e+00 
 2.398833e+03  1.899996e+01  2.398833e+03 -2.962059e+00 
 2.454709e+03  1.900620e+01  2.454709e+03 -2.966078e+00 
 2.511886e+03  1.901216e+01  2.511886e+03 -2.970012e+00 
 2.570396e+03  1.901787e+01  2.570396e+03 -2.973861e+00 
 2.630268e+03  1.902332e+01  2.630268e+03 -2.977628e+00 
 2.691535e+03  1.902854e+01  2.691535e+03 -2.981313e+00 
 2.754229e+03  1.903353e+01  2.754229e+03 -2.984920e+00 
 2.818383e+03  1.903830e+01  2.818383e+03 -2.988449e+00 
 2.884032e+03  1.904285e+01  2.884032e+03 -2.991902e+00 
 2.951209e+03  1.904721e+01  2.951209e+03 -2.995279e+00 
 3.019952e+03  1.905138e+01  3.019952e+03 -2.998584e+00 
 3.090295e+03  1.905536e+01  3.090295e+03 -3.001817e+00 
 3.162278e+03  1.905917e+01  3.162278e+03 -3.004980e+00 
 3.235937e+03  1.906280e+01  3.235937e+03 -3.008073e+00 
 3.311311e+03  1.906628e+01  3.311311e+03 -3.011099e+00 
 3.388442e+03  1.906960e+01  3.388442e+03 -3.014060e+00 
 3.467369e+03  1.907278e+01  3.467369e+03 -3.016955e+00 
 3.548134e+03  1.907581e+01  3.548134e+03 -3.019787e+00 
 3.630781e+03  1.907871e+01  3.630781e+03 -3.022557e+00 
 3.715352e+03  1.908148e+01  3.715352e+03 -3.025266e+00 
 3.801894e+03  1.908413e+01  3.801894e+03 -3.027916e+00 
 3.890451e+03  1.908666e+01  3.890451e+03 -3.030508e+00 
 3.981072e+03  1.908908e+01  3.981072e+03 -3.033042e+00 
 4.073803e+03  1.909139e+01  4.073803e+03 -3.035521e+00 
 4.168694e+03  1.909360e+01  4.168694e+03 -3.037945e+00 
 4.265795e+03  1.909571e+01  4.265795e+03 -3.040316e+00 
 4.365158e+03  1.909772e+01  4.365158e+03 -3.042635e+00 
 4.466836e+03  1.909965e+01  4.466836e+03 -3.044902e+00 
 4.570882e+03  1.910149e+01  4.570882e+03 -3.047120e+00 
 4.677351e+03  1.910325e+01  4.677351e+03 -3.049288e+00 
 4.786301e+03  1.910493e+01  4.786301e+03 -3.051409e+00 
 4.897788e+03  1.910653e+01  4.897788e+03 -3.053483e+00 
 5.011872e+03  1.910806e+01  5.011872e+03 -3.055512e+00 
 5.128614e+03  1.910953e+01  5.128614e+03 -3.057495e+00 
 5.248075e+03  1.911092e+01  5.248075e+03 -3.059435e+00 
 5.370318e+03  1.911226e+01  5.370318e+03 -3.061332e+00 
 5.495409e+03  1.911354e+01  5.495409e+03 -3.063187e+00 
 5.623413e+03  1.911475e+01  5.623413e+03 -3.065002e+00 
 5.754399e+03  1.911592e+01  5.754399e+03 -3.066776e+00 
 5.888437e+03  1.911703e+01  5.888437e+03 -3.068511e+00 
 6.025596e+03  1.911809e+01  6.025596e+03 -3.070209e+00 
 6.165950e+03  1.911911e+01  6.165950e+03 -3.071868e+00 
 6.309573e+03  1.912008e+01  6.309573e+03 -3.073492e+00 
 6.456542e+03  1.912100e+01  6.456542e+03 -3.075079e+00 
 6.606934e+03  1.912189e+01  6.606934e+03 -3.076632e+00 
 6.760830e+03  1.912273e+01  6.760830e+03 -3.078151e+00 
 6.918310e+03  1.912354e+01  6.918310e+03 -3.079637e+00 
 7.079458e+03  1.912431e+01  7.079458e+03 -3.081090e+00 
 7.244360e+03  1.912505e+01  7.244360e+03 -3.082511e+00 
 7.413102e+03  1.912575e+01  7.413102e+03 -3.083901e+00 
 7.585776e+03  1.912642e+01  7.585776e+03 -3.085261e+00 
 7.762471e+03  1.912706e+01  7.762471e+03 -3.086592e+00 
 7.943282e+03  1.912768e+01  7.943282e+03 -3.087893e+00 
 8.128305e+03  1.912826e+01  8.128305e+03 -3.089166e+00 
 8.317638e+03  1.912882e+01  8.317638e+03 -3.090412e+00 
 8.511380e+03  1.912935e+01  8.511380e+03 -3.091631e+00 
 8.709636e+03  1.912986e+01  8.709636e+03 -3.092823e+00 
